FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value,Cluster 10 Average,Cluster 10 Log2 Fold Change,Cluster 10 P-Value,Cluster 11 Average,Cluster 11 Log2 Fold Change,Cluster 11 P-Value,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value,Cluster 14 Average,Cluster 14 Log2 Fold Change,Cluster 14 P-Value,Cluster 15 Average,Cluster 15 Log2 Fold Change,Cluster 15 P-Value,Cluster 16 Average,Cluster 16 Log2 Fold Change,Cluster 16 P-Value,Cluster 17 Average,Cluster 17 Log2 Fold Change,Cluster 17 P-Value,Cluster 18 Average,Cluster 18 Log2 Fold Change,Cluster 18 P-Value,Cluster 19 Average,Cluster 19 Log2 Fold Change,Cluster 19 P-Value,Cluster 20 Average,Cluster 20 Log2 Fold Change,Cluster 20 P-Value,Cluster 21 Average,Cluster 21 Log2 Fold Change,Cluster 21 P-Value,Cluster 22 Average,Cluster 22 Log2 Fold Change,Cluster 22 P-Value,Cluster 23 Average,Cluster 23 Log2 Fold Change,Cluster 23 P-Value,Cluster 24 Average,Cluster 24 Log2 Fold Change,Cluster 24 P-Value,Cluster 25 Average,Cluster 25 Log2 Fold Change,Cluster 25 P-Value,Cluster 26 Average,Cluster 26 Log2 Fold Change,Cluster 26 P-Value
ENSG00000143297,FCRL5,1.5915531420497204,4.353051306929706,1.5498680593080672e-155,0.06960211907441743,-1.2246625901257948,0.0029747211408461503,0.050835927199519626,-1.6828507840703484,0.001082741303688021,0.0431323442312977,-1.9669014231971356,1.4507597038449669e-11,0.017815183524504844,-3.4663651009486687,4.72855117302774e-76,0.038758076913709937,-2.112425309977601,4.310268453114154e-11,0.1089168953602251,-0.5490988976630113,0.9572121751543988,0.07355426920103048,-1.1378546650266022,0.024012116125769086,0.8427594042043794,2.73168150828396,1.7955157415219133e-39,0.08112067603650848,-0.9753064133317499,1,0.016410340538024606,-3.4997996173532484,4.105547338654366e-59,0.015895945251905897,-3.530368153952994,3.5280386551144074e-55,0.036605937561066525,-2.0980382687866075,0.2625901698504869,0.11837751271830811,-0.41966190249261004,1,0.040130552553416056,-2.0201263840085963,3.164325385263119e-05,0.019543428964654972,-3.0200721130623394,0.0005474456903962648,0.023249023867612184,-2.6330954505813184,1,0.10217428643151905,-0.6329157224265947,1,0.09096199980126898,-0.7994976397718259,1,0.02371067770233125,-2.7512753743339697,7.744822368049063e-05,0.3526140347847108,1.156728711089442,0.6064762614685765,0.11712827917231673,-0.4285766475557229,1,0.04567198850325808,-1.7399681981925488,1,0.05663185940952641,-1.41797501223882,1,0.03255229274088465,-2.225523324364263,1,2.2215988779803655,3.8393771782831685,8.061711836686895e-06
ENSG00000211895,IGHA1,158.0546342753664,4.2178178639672375,8.194096600570074e-142,7.779759631295713,-1.119724354435558,0.004187465940548251,7.509837108887397,-1.1713540859708669,0.01685877929793873,4.636640044493069,-1.9183922140291396,1.2902170040773683e-11,2.4439390178921343,-3.0555358823664722,7.575769778999063e-66,4.611319023083852,-1.915947824178922,3.946940341487093e-10,9.661766440723968,-0.7849362015003267,0.6372355415377539,8.062711474793183,-1.0622282939576304,0.024136989111682,83.52922605804628,2.644060321301957,5.0607116568087785e-36,8.911992680593636,-0.9025246154941859,1,2.5328569258841434,-2.919695323513835,1.813237027210677e-47,2.197247087803362,-3.1142078332342633,2.841764676330003e-48,3.673093344542139,-2.181600044218352,0.11614066502037793,16.194278150780825,-0.033760955313194785,1,4.115765629946141,-2.0448503876373145,8.663757260020479e-06,2.2169577231780484,-2.9213772197745875,0.00019856275088414932,3.0327060022863006,-2.4542820123712117,0.827359069455666,10.331863843955206,-0.6851975864795445,1,8.828424205431027,-0.9128854575608134,0.9241431134007494,2.519079879526466,-2.739297005549343,1.801193813860608e-05,113.20379741734153,2.81343989692592,0.0006028644115449064,13.678545993775773,-0.2788037393716891,1,7.661476071421543,-1.1168701634146374,1,4.697113045143073,-1.823439714090978,0.9392037650810205,2.2049895135536075,-2.9147647698728036,0.3035897853299633,83.00701262272092,2.3343395349076514,0.1856611365968987
ENSG00000211675,IGLC1,11.125732800774022,4.5083997102076765,1.096229459060049e-140,0.5535435856091664,-0.967233055774562,0.0285904609074862,0.5846999135234852,-0.8864358322617282,0.10417079611059916,0.3294058869922494,-1.7676735432997843,9.77716552443343e-09,0.15847443741484624,-3.0394876393540025,9.492062065184116e-55,0.21430936646404317,-2.3879607513084564,8.984922467460467e-12,0.45968515323828335,-1.2172183585262693,0.5780150041626965,0.42844322907492893,-1.3373243695280914,0.009795626210465851,4.6432760438142635,2.380817600524109,5.111263028896673e-23,0.49317073246036275,-1.1157582876509913,1,0.1498588965883567,-3.038986679998254,3.5749334126761624e-42,0.13366842477933194,-3.1920292038329277,4.4937065232359644e-42,0.17499423809680584,-2.604651002044053,0.2323162030919315,0.7149532946353262,-0.5732796550620398,1,0.18158081699912018,-2.5873500164260186,6.385222754172343e-07,0.17711232499218568,-2.601235281067826,0.008397417391646463,0.20665798993433054,-2.3506580986594052,1,0.6498284617044612,-0.7119078358869801,1,0.7532471219498341,-0.49825208320729,1,0.13184573813266015,-3.0301105864045406,0.00011819490341460684,4.120508701934973,1.9746829783799262,0.6064762614685765,0.9794640156873443,-0.11755182130979393,1,0.25347953619308233,-2.0607903331851922,1,0.33979115645715846,-1.6371616433634975,1,0.15248179231256492,-2.7915940698373336,1,7.240986717267554,2.783876334560973,0.06439624059568096
ENSG00000137265,IRF4,1.4852154463857943,4.096531067592139,4.33629040760761e-131,0.07511515820902476,-1.1378927666336098,0.006439038330318337,0.06731856571130926,-1.2980213405822534,0.01252433083621857,0.04539331388858346,-1.916721388593937,5.40593389735523e-11,0.02296730977026757,-3.115557886325308,1.0865375596430705e-64,0.03955108104493674,-2.1076255603776066,5.953671153555527e-11,0.22788765798447097,0.5000516404193078,0.6029056945502586,0.0714764649863121,-1.2044473126118773,0.01688702629928099,0.8537974164724075,2.7242393957062783,8.382837253062932e-39,0.08971624435825772,-0.8545566574731112,1,0.020825305251300264,-3.1753942253024285,5.3415117552298886e-51,0.021283646583784364,-3.127938289745684,5.224205234126501e-46,0.2830263952892217,0.8142082548482734,0.3406855849775785,0.12072162188104689,-0.41605620663177634,1,0.03873988984116897,-2.0957890080158883,1.8594912860214183e-05,0.0114003335627154,-3.802436773210032,1.8602792219085183e-05,0.16790961682164357,0.06819420272342658,1,0.09093511492405194,-0.8244397417396994,1,0.10527062898349106,-0.614608076235232,1,0.029817973474143847,-2.4485471939753527,0.0004142381903682729,0.48484429782897737,1.5958087947325756,0.6064762614685765,0.12391832434172641,-0.37266668007510084,1,0.05252278677874679,-1.5715933288234054,1,0.09327600373333762,-0.753721183323091,0.9561515416003373,0.025699178479645774,-2.5721275012170928,0.9092774128344434,2.236449137859913,3.824085689541606,9.981424513779511e-06
ENSG00000099958,DERL3,2.968735303091298,4.057332863766103,1.836487619578725e-130,0.1455786896482246,-1.20512098053198,0.0031728670590302687,0.12804407601790269,-1.392750205457082,0.006746796616533421,0.09304759743445269,-1.9014184920760926,1.2082857590518601e-11,0.05279377556652046,-2.9290416993940154,7.197488401455464e-63,0.08217505309837733,-2.07304741235597,4.960873419741001e-11,0.20777992345642943,-0.6651926940282724,0.86498802829962,0.15479641399651894,-1.109603802323972,0.02660639373990125,1.71275546205714,2.7047173573038874,7.548890659657412e-39,0.18319304985728072,-0.8480742227267266,1,0.05197996190724546,-2.86975019194187,4.735456323719867e-47,0.047821415127582444,-2.9777468046977575,5.432329700247076e-46,0.062497942177430654,-2.3845758835002604,0.18122957640529383,0.26488433538948153,-0.30857694820901127,1,0.08085710341208087,-2.0568587915202183,1.7742744499638375e-05,0.037458238848922035,-3.1393732335622353,0.00024625274635663706,0.07491352135119482,-2.0913841531142654,1,0.15223968678296337,-1.1075022530502807,1,0.2391585163314263,-0.4569300478335423,1,0.06107295771812595,-2.4420868033189027,0.0003240210219435636,1.3022677421026252,2.0066020387335644,0.6064762614685765,0.25123167126815765,-0.3820760604633999,1,0.13244876665944844,-1.2927121629066378,1,0.14990786314286403,-1.1076032276417718,1,0.06681786404707901,-2.2690788112852385,0.996690756453235,6.762808349146112,4.422454978259969,4.180192309392627e-09
ENSG00000110777,POU2AF1,1.546620015522025,4.024232238228872,3.1815449808007366e-127,0.0771825478845025,-1.1953004992387317,0.0036391442797701345,0.0720031050778179,-1.2966865324054768,0.011779896539835839,0.05217622286044076,-1.8093212425007574,2.803294674502404e-10,0.030385130087962096,-2.797160811822087,2.4139013417089343e-58,0.043516101701070745,-2.064923804011657,8.286626278628844e-11,0.14689817169097028,-0.23653988096121603,1,0.08705999659669991,-1.0133182878356788,0.04811087506157557,0.9078406713431425,2.715079541846248,4.9404181709864265e-39,0.10153515080066293,-0.7719430398053451,1,0.031654463981976404,-2.6552314706420135,6.913616496714834e-40,0.033305790051612355,-2.5652892997508014,3.1705884042531487e-35,0.08928277453918665,-0.9490499138545578,0.8344366431797118,0.1476788772525428,-0.22244348345340414,1,0.04787853052164985,-1.8853485769972833,9.138180674784138e-05,0.016693345573976122,-3.3630002328628583,0.00011506253350991569,0.05424772235776176,-1.6149096147453017,1,0.10319602929583424,-0.7390482923227939,1,0.09607222450920544,-0.8415711680454878,1,0.022273666932492994,-2.9605423439396192,2.2883696815954222e-05,0.5823474210838406,1.7666594778255025,0.6064762614685765,0.14089343726525058,-0.28503297732937893,1,0.07079158218005002,-1.251709351941555,1,0.11326371881905282,-0.5777001021195844,0.9422188695681482,0.037692128436813806,-2.143743798223154,1,2.3285207491131104,3.7855599842083523,1.1077738592474274e-05
ENSG00000102096,PIM2,5.979012553349711,3.9978798816872443,8.148481174490374e-127,0.28461064532410296,-1.2808437971748323,0.000821174018216813,0.2635487147306154,-1.3931711109214238,0.0040912501951569265,0.19000841158343845,-1.9131724074089984,7.821915660871284e-12,0.11505380718700255,-2.843494760407242,1.1781455651075787e-60,0.1762451681651567,-2.012993297161797,4.128929394505191e-11,0.8813890301458216,0.3871647835010644,0.8145758207749338,0.32517635960342567,-1.0801662873011357,0.019309981760344746,3.692860182294441,2.793905156533893,1.3740058222097218e-42,0.39002391259937186,-0.8006273249873919,1,0.09642116331352021,-3.023347538369607,2.0734680417838554e-51,0.09070039349616893,-3.0982396912077697,3.530613826274277e-49,0.99014596963958,0.5546891301338008,0.6806806399750993,0.48640265126829574,-0.4762393873234376,1,0.15158223563493292,-2.1937538971254167,3.874717433068967e-06,0.09079551373162623,-2.911561094787167,0.0005909309859368892,0.6225571946771707,-0.117736623110834,1,0.4556973174845749,-0.5710951414756344,1,0.3618039093219013,-0.9044085702042233,1,0.13112723274774102,-2.3848810650512355,0.0003801095215738765,1.8205035204983366,1.4395338084186644,0.6064762614685765,0.49058076348984836,-0.46240654275550863,1,0.2740319310195485,-1.2973371686031114,1,0.28649058289525126,-1.2291679982215375,1,0.11650294244106085,-2.523507573389022,0.9082534117416117,10.528834254599458,4.003492410703378,1.546688944860659e-06
ENSG00000170476,MZB1,5.662785077975553,3.97739762468216,9.355610002758988e-126,0.3006329153090555,-1.1317346070014642,0.003142282000575207,0.2531386272494851,-1.3834939827599764,0.004204095733604049,0.16183325123880044,-2.0803097025553496,1.6742345674705468e-13,0.09034843073141743,-3.1339366118452894,7.701284359105524e-71,0.14065910777635396,-2.2746471578980483,2.6687212321984575e-13,0.45130693051826604,-0.5203019871353285,0.9728134213494112,0.2809191298299243,-1.2255434029243264,0.007003988973659116,3.844812039490672,2.963905366674551,5.4407302328330565e-50,0.378742229177076,-0.7750961209980276,1,0.07284691776904832,-3.366841054743675,1.1290125341261405e-60,0.07168759623408541,-3.3747592713826093,3.284702653042414e-56,0.23927783576502024,-1.4341669369664107,0.532509864609087,0.5649303082200446,-0.19190038922363606,1,0.12655030681448529,-2.387470207037222,5.017172613344826e-07,0.07450932292774709,-3.128151457512531,0.00020812526535140047,0.19115864068925575,-1.7424230052080776,1,0.40154494567586985,-0.6860135171886368,1,0.3863329879199963,-0.7418023372892031,1,0.09160943657718892,-2.8343084604626996,2.904586992974677e-05,3.5167907332884227,2.4764286403765143,0.01949004285511368,0.5635737490610023,-0.19447556913197395,1,0.2717483315943856,-1.2416058305286266,1,0.3297972989143009,-0.9603695466347222,1,0.11821622100637057,-2.4350506416039663,0.9272681209012312,11.033743090504087,4.143720934002029,2.2763319901967048e-07
ENSG00000124256,ZBP1,0.9123483615448249,3.942304224712425,9.237686823558406e-120,0.052546154251726034,-1.0271734199900902,0.014861445837158904,0.04025233826037049,-1.4164450958177985,0.006897608418408487,0.02782731885890174,-1.9998630733687834,1.2529244032590876e-11,0.014339050153869753,-3.1728991984596324,2.120455828146608e-65,0.027656019076534713,-1.9975602916015545,4.1969816981825495e-10,0.36082212514207906,1.8196170937048923,0.00013206139125666148,0.07396983004397414,-0.5202134175057949,0.4385186397998236,0.5109022821201579,2.5710796113102754,9.381914744805102e-34,0.060168978252244695,-0.8035460627281195,1,0.011453917888215145,-3.417236261304865,1.589993247456734e-55,0.01059729683460393,-3.514712228146108,3.5150223688313875e-53,0.461591944367595,2.1694288931391204,0.00011916780407251019,0.0738394386262714,-0.4940157443724731,1,0.02185327119245429,-2.2947522055780722,3.3911905324592102e-06,0.013028952643103315,-2.991956696126121,0.0007443666548454051,0.568309472319409,2.4505631888421657,0.018556576379900207,0.06130457185891143,-0.7625283876744224,1,0.059278606612062926,-0.8103734290092603,1,0.027303204626926897,-1.9492642386606245,0.004843331809428383,0.14558685527096016,0.480746366146914,0.646007168272534,0.0712954742788015,-0.533510823124498,1,0.04567198850325808,-1.1409557248001994,1,0.039975430171430404,-1.2889866741660905,1,0.015419507087787465,-2.627436415760955,0.8822996167767895,1.4256249484365981,3.7975579400886694,1.1077738592474274e-05
ENSG00000183508,TENT5C,1.8415315063439617,3.751738143520283,4.792961439354706e-107,0.11094991258397234,-1.070049209399155,0.009213729278133423,0.1001103412768697,-1.220519513859545,0.016873683543496366,0.07382935534752368,-1.7063528875556702,1.4372379695379083e-09,0.043265445702368906,-2.6829102150288175,2.669273615116955e-55,0.060070062940430234,-1.9991601057417996,1.6772713388491205e-10,0.21224830890710533,-0.10546696444849513,1,0.099734602306482,-1.220269145226991,0.012971728190661318,1.3715805374089984,2.9780306104624725,3.188632068757903e-50,0.12302407160503603,-0.8967088177778764,1,0.04135905622908232,-2.6698433108653647,1.9890010017943642e-42,0.04091981424790341,-2.671046107764519,1.9610576447311667e-39,0.16606596064288717,-0.4576852563338414,1,0.16877585971719178,-0.431695769486232,1,0.05959983052487533,-1.9708939946822692,3.698097622495007e-05,0.03582961976853412,-2.677741180015686,0.0016801829446369755,0.1317444685831357,-0.7724977895185385,1,0.1266961151750836,-0.8456285723260364,1,0.13490993228952253,-0.7553707617477801,1,0.04418808117252642,-2.381479992695857,0.00042731474589944023,0.8882133830751239,1.9787611900402065,0.5180778929080185,0.20539886637464239,-0.14569447660055967,1,0.10732917298265648,-1.066052319346853,1,0.10993243297143362,-1.0195666133004742,1,0.03940540700212352,-2.482149011337146,0.9168825718721587,3.3472485768500957,3.912952010763875,5.316085910215732e-06
